ID,Detail,Difficulty,Vocab,Tags,index,original_input,original_output,translated_input,translated_output,fail_reason
65,3,3,2,"Dáng người, Hoàn cảnh",64,"I'd love to wear a classic trench coat, but I'm short and worried about the length. How can I find a trench that suits a petite frame?","Look for trench coats specifically designed for petite proportions. These will have shorter sleeve lengths, higher belted waist placement, and reduced overall length to maintain correct proportions. A length that hits at or just above the knee is typically flattering. Opt for a single-breasted style with a streamlined silhouette to avoid overwhelming a smaller frame. Keep detailing—like large epaulets or oversized buttons—moderate. If necessary, have a tailor adjust sleeves or hem. This approach ensures a timeless trench complements, rather than dwarfs, a petite figure.","Tôi rất muốn mặc một chiếc trench coat kinh điển, nhưng tôi thấp nên lo ngại về chiều dài. Làm sao tôi có thể tìm được một chiếc trench coat phù hợp với vóc dáng nhỏ nhắn?","Hãy tìm kiếm những chiếc trench coat được thiết kế riêng cho người dáng nhỏ (petite). Những chiếc áo này sẽ có chiều dài tay ngắn hơn, vị trí thắt eo cao hơn và chiều dài tổng thể được giảm bớt để duy trì tỷ lệ cân đối. Chiều dài chạm hoặc vừa trên đầu gối thường mang lại hiệu ứng tôn dáng. Hãy chọn kiểu áo một hàng khuy với phom dáng thon gọn để tránh làm người mặc bị nuốt chửng trong chiếc áo. Hãy giữ các chi tiết trang trí—như cầu vai lớn hoặc cúc áo quá khổ—ở mức vừa phải. Nếu cần, hãy nhờ thợ may sửa lại chiều dài tay hoặc gấu áo. Cách tiếp cận này đảm bảo chiếc trench coat kinh điển sẽ tôn vinh, chứ không làm lu mờ, vóc dáng nhỏ nhắn của bạn.",
66,3,2,2,"Kiến thức cơ bản, Phong cách",65,I’m revisiting the idea of wearing suits more frequently. What qualities make a suit timeless and not just trend-oriented?,"A timeless suit tends to feature a single-breasted jacket with notch lapels of moderate width, neither too skinny nor overly wide. Trousers often have a straight or slightly tapered leg, avoiding extreme cuts. Opt for neutral colors—charcoal, navy, or mid-gray—for broad versatility. Wool or wool-blended fabrics are reliable, with a slight texture that lends a refined look. Pay attention to craftsmanship: functional buttonholes on the cuffs, neat stitching, and a well-fitted shoulder line are hallmarks of quality. When tailored to your body and properly cared for, such a suit remains relevant for a variety of occasions.",Tôi đang cân nhắc việc mặc suit thường xuyên hơn. Những đặc điểm nào khiến một bộ suit trở nên kinh điển và không chỉ đơn thuần là chạy theo xu hướng?,"Một bộ suit kinh điển thường có chiếc áo khoác vest một hàng khuy với ve áo hình notch (ve chữ V) có độ rộng vừa phải, không quá hẹp cũng không quá rộng. Quần thường có ống đứng hoặc hơi thuôn, tránh các kiểu cắt quá táo bạo. Hãy chọn các tông màu trung tính—như xám than, xanh navy hoặc xám trung tính—để có tính ứng dụng cao. Vải len hoặc vải pha len là lựa chọn đáng tin cậy, với bề mặt hơi có vân tạo nên vẻ ngoài tinh tế. Hãy chú ý đến kỹ thuật may: các khuyết khuy chức năng ở cổ tay áo, đường may gọn gàng và đường vai vừa vặn là những dấu hiệu của chất lượng. Khi được may đo vừa vặn với cơ thể và được bảo quản đúng cách, một bộ suit như vậy sẽ luôn phù hợp cho nhiều dịp khác nhau.",
71,3,3,2,"Dáng người, Kiến thức cơ bản",70,I have an hourglass figure. Which timeless skirt shapes will accentuate my waist sustainably?,"A pencil skirt with a structured waistband highlights the hourglass silhouette, while an A-line cut flares gently from the waist to balance proportions. Seek sustainable fabrics like organic cotton twill or Tencel for comfort and longevity. Look for secure waist closures and reinforced seams that withstand repeated wear. Neutral colors—black, navy, or gray—allow easy pairing with different tops. Slight stretch can provide flexibility without distorting the classic shape. With proper fit and care, these skirt styles elegantly showcase an hourglass figure, retaining a sophisticated, enduring appeal.",Tôi có dáng người đồng hồ cát. Những kiểu dáng chân váy kinh điển nào sẽ làm nổi bật vòng eo của tôi một cách bền vững?,"Chân váy bút chì với phần cạp cao, định hình tốt sẽ làm nổi bật đường cong đồng hồ cát, trong khi dáng váy chữ A xòe nhẹ từ eo giúp cân bằng tỷ lệ cơ thể. Hãy tìm kiếm các chất liệu bền vững như vải cotton chéo hữu cơ hoặc Tencel để đảm bảo sự thoải mái và độ bền. Hãy chọn những chiếc váy có phần đóng eo chắc chắn và đường may gia cố để chịu được việc mặc thường xuyên. Các màu trung tính—như đen, xanh navy hoặc xám—giúp dễ dàng phối với nhiều loại áo khác nhau. Một chút độ co giãn có thể tạo sự linh hoạt mà không làm biến dạng phom dáng kinh điển. Với sự vừa vặn và bảo quản đúng cách, những kiểu váy này sẽ tôn vinh vóc dáng đồng hồ cát một cách thanh lịch, giữ được sức hút tinh tế và bền lâu.",
74,3,3,2,"Dáng người, Phong cách",73,I have a pear-shaped body and want clothing that balances my proportions. Which silhouettes are both timeless and flattering?,"Classic A-line skirts, fit-and-flare dresses, and straight-leg trousers help create harmonious proportions by skimming over the hips. Pair them with well-structured tops or blazers that accentuate your upper body. Opt for darker, solid colors on the bottom and lighter or more vibrant shades on top to draw the eye upward. Favor fabrics that drape well, such as woven cotton or lightweight wool, for a polished yet comfortable fit that endures across seasons.",Tôi có dáng người quả lê và muốn tìm trang phục giúp cân bằng tỷ lệ cơ thể. Những phom dáng nào vừa kinh điển vừa tôn dáng?,"Chân váy chữ A kinh điển, váy xòe (fit-and-flare) và quần ống đứng giúp tạo tỷ lệ hài hòa bằng cách lướt nhẹ qua hông. Hãy phối chúng với những chiếc áo hoặc blazer có cấu trúc rõ ràng để làm nổi bật phần thân trên. Nên chọn màu tối và đơn sắc cho phần dưới, và những tông màu sáng hoặc rực rỡ hơn cho phần trên để thu hút ánh nhìn lên phía trên. Ưu tiên các loại vải có độ rủ tốt, chẳng hạn như cotton dệt hoặc len nhẹ, để có vẻ ngoài chỉn chu nhưng vẫn thoải mái và bền bỉ qua các mùa.",
76,3,2,2,"Hoàn cảnh, Phong cách",75,Sometimes I need to dress up quickly for a dinner but don’t have time to plan. How do I create a polished evening look on short notice?,"Prepare a reliable “go-to” outfit formula. Start with a universally flattering base—like tailored black trousers or a simple black dress. Pair it with a refined top (silk blouse or fitted blazer) that can instantly elevate the outfit. Keep a statement accessory on hand, such as a bold necklace or a silk scarf, to add personality without overthinking. Select classic heels or polished flats in a neutral tone to complement multiple looks. Ensuring these items are cleaned, pressed, and easily accessible streamlines your last-minute dress-up routine. With timeless and neutral pieces, you can achieve an elegant evening look swiftly, reflecting that effortless chic aesthetic.",Đôi khi tôi cần nhanh chóng thay đồ cho một bữa tối nhưng không có thời gian để lên kế hoạch. Làm thế nào để tạo một vẻ ngoài sang trọng vào phút chót?,"Chuẩn bị sẵn một “công thức” trang phục đáng tin cậy. Bắt đầu với một bộ cơ bản luôn hợp thời trang – ví dụ như quần tây đen hoặc một chiếc váy đen đơn giản. Kết hợp với một chiếc áo blouse lụa hoặc áo blazer dáng ôm để nâng tầm trang phục. Giữ một phụ kiện nổi bật, chẳng hạn như một chiếc vòng cổ sành điệu hoặc một chiếc khăn lụa, để thêm cá tính mà không cần suy nghĩ nhiều. Chọn giày cao gót hoặc giày búp bê màu trung tính, bóng loáng để phối với nhiều trang phục khác nhau. Đảm bảo các món đồ này được làm sạch, là phẳng và dễ dàng lấy ra sẽ giúp bạn rút ngắn thời gian chỉnh sửa trang phục gấp rút. Với những món đồ cổ điển và trung tính, bạn có thể nhanh chóng tạo ra một vẻ ngoài thanh lịch vào buổi tối, thể hiện phong cách sang trọng, tự nhiên.",
106,3,3,2,"Dáng người, Kiến thức cơ bản",105,"My figure is pear-shaped. Any guidelines for selecting sustainable, long-lasting jeans that flatter my lower body?","Look for jeans with a higher rise to define the waist and skim over the hips. Slight stretch in fabrics like organic cotton blended with a bit of elastane helps accommodate curves without losing shape. Straight-leg or bootcut silhouettes balance wider hips, while darker washes can offer a slimming effect. Ensure a snug but not constricting fit around the hips, and consider tailoring at the waist if there’s a gap. Invest in durable denim that’s made ethically, checking for reinforced seams and belt loops. With proper care, you’ll enjoy a comfortable, flattering pair that supports a pear-shaped figure for years.","Dáng người tôi là dáng quả lê. Có hướng dẫn nào để chọn những chiếc quần jean bền vững, lâu bền và tôn dáng cho phần thân dưới của tôi không?","Hãy tìm những chiếc quần jean cạp cao để định hình vòng eo và lướt nhẹ qua hông. Chất liệu có độ co giãn nhẹ như cotton hữu cơ pha một chút elastane sẽ giúp ôm theo đường cong mà không làm mất phom dáng. Phom dáng ống đứng hoặc ống loe (bootcut) giúp cân bằng hông rộng, trong khi các tông màu tối có thể tạo hiệu ứng thon gọn. Đảm bảo quần vừa vặn nhưng không quá chật quanh hông, và cân nhắc sửa lại phần eo nếu có khoảng hở. Hãy đầu tư vào chất liệu denim bền bỉ được sản xuất có đạo đức, kiểm tra các đường may gia cố và đỉa quần. Với sự chăm sóc đúng cách, bạn sẽ có một chiếc quần thoải mái, tôn dáng và phù hợp với vóc dáng quả lê trong nhiều năm.",
108,3,3,3,"Dáng người, Phong cách",107,I struggle to buy jackets that fit well over my hips and bust. What timeless styles work for a curvier figure?,"When selecting jackets for a curvier figure, focus on shapes that gently contour the waist without restricting movement around the hips and bust. A well-structured blazer with subtle princess seams can offer a flattering fit by following the natural curves of your body. Look for styles with a single or two-button closure positioned at the narrowest part of your waist, as this can accentuate an hourglass silhouette. A-line or swing coats work especially well when you need more room around the hips. These styles flare out from the waist, accommodating fuller lower bodies while still providing structure at the top. Trench coats with a tie belt can also be adjusted to your liking, offering a cinched look at the waist while leaving enough space for the bust and hips. Pay attention to fabric weight and drape. Medium-weight wools or woven fabrics that hold their shape can provide structure, while slightly softer textiles can mold to your figure more comfortably. Finally, don’t be afraid to tailor your jackets. Adjusting sleeve length, shoulder width, and the waistline can transform a decent fit into a perfect one. By combining figure-accommodating silhouettes with strategic tailoring, you’ll find timeless jacket styles that celebrate your curves rather than constrain them.",Tôi gặp khó khăn khi mua áo khoác vừa vặn với phần hông và ngực. Những kiểu dáng kinh điển nào phù hợp với người có vóc dáng đầy đặn?,"Khi chọn áo khoác cho vóc dáng đầy đặn, hãy tập trung vào những phom dáng ôm nhẹ vòng eo mà không gây gò bó cho phần hông và ngực. Một chiếc blazer có cấu trúc tốt với các đường chiết eo (princess seams) tinh tế có thể tạo sự vừa vặn tôn dáng bằng cách đi theo đường cong tự nhiên của cơ thể. Hãy tìm những kiểu áo có một hoặc hai khuy cài nằm ở phần hẹp nhất của eo, vì điều này có thể làm nổi bật vóc dáng đồng hồ cát. Áo khoác dáng chữ A hoặc áo khoác xòe (swing coats) đặc biệt hiệu quả khi bạn cần nhiều không gian quanh hông. Những kiểu này xòe ra từ eo, phù hợp với phần thân dưới đầy đặn trong khi vẫn giữ được cấu trúc ở phần trên. Áo trench coat có thắt lưng cũng có thể được điều chỉnh theo ý muốn, tạo vẻ thắt eo trong khi vẫn đủ không gian cho ngực và hông. Hãy chú ý đến trọng lượng và độ rủ của vải. Vải len trung bình hoặc vải dệt giữ phom tốt có thể tạo cấu trúc, trong khi các loại vải mềm hơn một chút sẽ ôm sát cơ thể thoải mái hơn. Cuối cùng, đừng ngần ngại mang áo đi sửa. Việc điều chỉnh chiều dài tay, độ rộng vai và đường eo có thể biến một chiếc áo vừa vặn thành hoàn hảo. Bằng cách kết hợp phom dáng phù hợp với vóc dáng và kỹ thuật may đo chiến lược, bạn sẽ tìm thấy những kiểu áo khoác kinh điển tôn vinh những đường cong của mình thay vì gò bó chúng.",
116,3,3,2,"Dáng người, Kiến thức cơ bản",115,How do I select a sustainable blazer if I’m tall with longer arms?,"Look for brands offering longer sleeve lengths or tall-specific sizes. Prioritize fabrics like organic cotton twill or responsibly sourced wool blends that retain their shape. The blazer’s shoulder seam should align with yours, and sleeves should hit just at the wrist bone or slightly beyond. Opt for a single-breasted, two-button style for maximum versatility. A tailor can also let out the hem or sleeves if the garment is well-constructed, so check if there’s extra fabric inside. This ensures a custom fit that stands the test of time.",Làm sao để tôi chọn một chiếc blazer bền vững nếu tôi cao và có cánh tay dài?,"Hãy tìm các thương hiệu cung cấp chiều dài tay áo dài hơn hoặc các kích cỡ dành riêng cho người cao (tall sizes). Ưu tiên các chất liệu như cotton chéo hữu cơ hoặc len pha nguồn gốc bền vững để giữ phom dáng. Đường may vai của blazer nên khớp với vai của bạn, và tay áo nên chạm vừa vặn ở xương cổ tay hoặc dài hơn một chút. Hãy chọn kiểu một hàng khuy với hai cúc để có tính ứng dụng cao nhất. Thợ may cũng có thể nới rộng gấu áo hoặc tay áo nếu trang phục được may tốt, vì vậy hãy kiểm tra xem bên trong có vải dư hay không. Điều này đảm bảo sự vừa vặn tùy chỉnh, bền bỉ theo thời gian.",
121,3,2,2,"Dáng người, Phong cách",120,I’m a tall person who wants to wear wide-leg trousers—how do I ensure a timeless silhouette?,"Opt for higher-waisted cuts to balance leg proportions and create a flattering line. Look for heavier fabrics like linen blends or recycled cotton twill that drape well without clinging. Keep the rest of your outfit fitted or tuck in your top to emphasize your waist. Neutral colors—like navy, black, or beige—keep the look classic and versatile across different settings.",Tôi là một người cao và muốn mặc quần ống rộng—làm sao để tôi đảm bảo có một phom dáng kinh điển?,"Hãy chọn những kiểu quần cạp cao để cân bằng tỷ lệ chân và tạo đường nét tôn dáng. Tìm kiếm các chất liệu vải dày hơn như linen pha hoặc cotton chéo tái chế có độ rủ tốt mà không bị dính sát vào người. Hãy giữ cho các phần còn lại của bộ trang phục vừa vặn hoặc sơ vin áo để làm nổi bật vòng eo. Các màu trung tính—như xanh navy, đen hoặc be—giúp vẻ ngoài luôn kinh điển và linh hoạt trong nhiều môi trường khác nhau.",
125,3,2,2,"Hoàn cảnh, Phong cách",124,I’d like to adopt a more refined weekend style. How can I upgrade my casual clothes to maintain a timeless vibe?,"Choose well-fitted jeans in a solid, dark wash and pair them with a structured T-shirt or polo shirt. Layer with a lightweight jacket or sweater that has clean lines, avoiding oversized logos or flashy details. Invest in quality sneakers or loafers that complement your ensemble—look for materials like leather or suede in subdued colors. If wearing shorts, opt for chino styles in neutral tones, ensuring they’re neither too long nor too short. Pay attention to simple, well-made accessories like a minimal watch or a classic belt. This refined approach elevates weekend wear while remaining casual and comfortable.",Tôi muốn xây dựng một phong cách cuối tuần tinh tế hơn. Làm sao tôi có thể nâng cấp trang phục thường ngày để duy trì một cảm giác kinh điển?,"Hãy chọn những chiếc quần jean vừa vặn với tông màu tối, đơn sắc và phối cùng một chiếc áo thun hoặc áo polo có phom dáng rõ ràng. Khoác thêm một chiếc áo khoác nhẹ hoặc áo len có đường nét gọn gàng, tránh các logo quá khổ hoặc chi tiết lòe loẹt. Đầu tư vào những đôi giày sneakers hoặc giày lười (loafers) chất lượng để hoàn thiện bộ trang phục—hãy tìm các chất liệu như da hoặc da lộn với màu sắc trầm. Nếu mặc quần short, hãy chọn kiểu quần chino với tông màu trung tính, đảm bảo chúng không quá dài cũng không quá ngắn. Chú ý đến các phụ kiện đơn giản, được chế tác tốt như một chiếc đồng hồ tối giản hoặc một chiếc thắt lưng kinh điển. Cách tiếp cận tinh tế này nâng tầm trang phục cuối tuần trong khi vẫn giữ được sự thoải mái và giản dị.",
